Sample_Type,Trip_Number,Hormone,min_Control,median_Control,Q3_Control,max_Control,min_Treated,median_Treated,Q3_Treated,max_Treated
703,1,iP,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
703,2,iP,0.0,0.01,0.01,0.01,0.0,0.005,0.01,0.01
703,3,iP,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
703,4,iP,0.01,0.02,0.02,0.02,0.02,0.02,0.0275,0.05
735,1,iP,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
735,2,iP,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
735,3,iP,0.01,0.01,0.0125,0.02,0.01,0.01,0.01,0.01
735,4,iP,0.02,0.025,0.03,0.03,0.01,0.025,0.03,0.03
887,1,iP,0.01,0.02,0.02,0.02,0.01,0.01,0.0125,0.02
887,2,iP,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
887,3,iP,0.01,0.01,0.01,0.01,0.01,0.015,0.02,0.02
887,4,iP,0.02,0.025,0.03,0.03,0.03,0.035,0.0425,0.05
35,1,tZ,0.03,0.03,0.0325,0.04,0.04,0.06,0.0625,0.07
35,2,tZ,0.03,0.04,0.05,0.05,0.03,0.03,0.035,0.05
35,3,tZ,0.03,0.035,0.0425,0.05,0.04,0.05,0.052500000000000005,0.06
35,4,tZ,0.04,0.055,0.06,0.06,0.06,0.06,0.0625,0.07
171,1,tZ,0.02,0.04,0.0425,0.05,0.03,0.045,0.052500000000000005,0.06
171,2,tZ,0.02,0.035,0.04,0.04,0.03,0.045,0.065,0.11
171,3,tZ,0.03,0.045,0.052500000000000005,0.06,0.03,0.045,0.05,0.05
171,4,tZ,0.04,0.04,0.0425,0.05,0.04,0.06,0.0675,0.09
402,1,tZ,0.03,0.045,0.05,0.05,0.02,0.03,0.0325,0.04
402,2,tZ,0.02,0.025,0.0325,0.04,0.03,0.035,0.04,0.04
402,3,tZ,0.03,0.04,0.04,0.04,0.02,0.035,0.04,0.04
402,4,tZ,0.03,0.045,0.05,0.05,0.03,0.05,0.05500000000000001,0.07
609,1,tZ,0.02,0.03,0.03,0.03,0.02,0.025,0.03,0.03
609,2,tZ,0.03,0.035,0.0425,0.05,0.02,0.04,0.04,0.04
609,3,tZ,0.03,0.03,0.0325,0.04,0.03,0.035,0.0425,0.05
609,4,tZ,0.02,0.04,0.0425,0.05,0.03,0.035,0.04,0.04
680,1,tZ,0.03,0.05,0.052500000000000005,0.06,0.03,0.04,0.052500000000000005,0.06
680,2,tZ,0.03,0.03,0.0325,0.04,0.03,0.035,0.04,0.04
680,3,tZ,0.03,0.04,0.04,0.04,0.03,0.035,0.04,0.04
680,4,tZ,0.03,0.045,0.052500000000000005,0.06,0.04,0.05,0.0675,0.09
698,1,tZ,0.03,0.04,0.045,0.06,0.04,0.060000000000000005,0.07250000000000001,0.08
698,2,tZ,0.03,0.05,0.065,0.08,0.04,0.06,0.065,0.08
698,3,tZ,0.04,0.05,0.052500000000000005,0.06,0.05,0.055,0.065,0.08
698,4,tZ,0.05,0.055,0.0675,0.09,0.03,0.06,0.065,0.08
703,1,tZ,0.03,0.035,0.0425,0.05,0.02,0.03,0.0325,0.04
703,2,tZ,0.03,0.04,0.0425,0.05,0.01,0.03,0.03,0.03
703,3,tZ,0.02,0.03,0.0325,0.04,0.04,0.04,0.0425,0.05
703,4,tZ,0.04,0.045,0.052500000000000005,0.06,0.03,0.045,0.052500000000000005,0.06
735,1,tZ,0.01,0.025,0.03,0.03,0.02,0.025,0.03,0.03
735,2,tZ,0.02,0.02,0.0225,0.03,0.02,0.02,0.0225,0.03
735,3,tZ,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03
735,4,tZ,0.03,0.03,0.035,0.05,0.03,0.03,0.0375,0.06
887,1,tZ,0.03,0.05,0.06,0.06,0.03,0.04,0.045,0.06
887,2,tZ,0.02,0.03,0.03,0.03,0.03,0.035,0.045,0.06
887,3,tZ,0.03,0.03,0.0325,0.04,0.02,0.03,0.0325,0.04
887,4,tZ,0.02,0.03,0.035,0.05,0.03,0.04,0.04,0.04
