GA4;
GA3 - 35 ;0.37
GA3 - 402 ;0.383
GA3 - 609 ;0.602
GA3 - 680 ;2.989
GA3 - 698 ;57.31
GA3 - 703 ;1.886
GA3 - 735 ;6.737
GA3 - 887 ;139.522
GA4 - 171 ;2.458
GA4 - 35 ;0.392
GA4 - 402 ;2.079
GA4 - 609 ;3.768
GA4 - 680 ;2.612
GA4 - 698 ;1.655
GA4 - 703 ;21.894
GA4 - 735 ;70.167
GA4 - 887 ;22.695
K1 - 171 ;0.736
K1 - 35 ;0.096
K1 - 402 ;0.202
K1 - 609 ;0.997
K1 - 680 ;0.697
K1 - 698 ;1.455
K1 - 703 ;1.918
K1 - 735 ;1.833
K1 - 887 ;1.475
K2 - 171 ;0.181
K2 - 35 ;0.071
K2 - 402 ;0.269
K2 - 609 ;0.21
K2 - 680 ;1.989
K2 - 698 ;2.058
K2 - 703 ;4.212
K2 - 735 ;0.888
K2 - 887 ;10.684
K3 - 171 ;0.813
K3 - 35 ;0.166
K3 - 402 ;0.315
K3 - 609 ;0.199
K3 - 680 ;0.687
K3 - 698 ;0.775
K3 - 703 ;1.784
K3 - 735 ;0.399
K3 - 887 ;1.125
K4 - 171 ;0.34
K4 - 35 ;0.422
K4 - 402 ;0.099
K4 - 609 ;0.69
K4 - 680 ;0.192
K4 - 698 ;2.441
K4 - 703 ;5.361
K4 - 735 ;3.001
K4 - 887 ;4.181
;
GA1;
GA1 - 171 ;1.031
GA1 - 35 ;0.661
GA1 - 402 ;1.323
GA1 - 609 ;0.5
GA1 - 680 ;0.728
GA1 - 698 ;7.359
GA1 - 703 ;0.525
GA1 - 735 ;0.077
GA1 - 887 ;0.142
GA2 - 171 ;0.46
GA2 - 35 ;0.681
GA2 - 402 ;0.817
GA2 - 609 ;0.589
GA2 - 680 ;0.742
GA2 - 698 ;0.449
GA2 - 703 ;0.345
GA2 - 735 ;0.288
GA2 - 887 ;0.3
GA3 - 171 ;0.767
GA3 - 35 ;0.813
GA3 - 402 ;1.145
GA3 - 609 ;0.604
GA3 - 680 ;0.414
GA3 - 698 ;0.369
GA3 - 703 ;0.509
GA3 - 735 ;0.298
GA3 - 887 ;0.269
GA4 - 171 ;0.628
GA4 - 35 ;0.475
GA4 - 402 ;0.775
GA4 - 609 ;0.485
GA4 - 680 ;0.767
GA4 - 698 ;0.485
GA4 - 703 ;0.402
GA4 - 735 ;0.158
GA4 - 887 ;0.194
K1 - 171 ;0.923
K1 - 35 ;0.623
K1 - 402 ;1.14
K1 - 609 ;0.429
K1 - 680 ;0.588
K1 - 698 ;0.501
K1 - 703 ;0.38
K1 - 735 ;0.285
K1 - 887 ;0.092
K2 - 171 ;0.566
K2 - 35 ;0.455
K2 - 402 ;1.411
K2 - 609 ;0.731
K2 - 680 ;0.561
K2 - 698 ;0.487
K2 - 703 ;0.186
K2 - 735 ;0.248
K2 - 887 ;0.235
K3 - 171 ;0.476
K3 - 35 ;0.459
K3 - 402 ;0.999
K3 - 609 ;0.524
K3 - 680 ;0.62
K3 - 698 ;0.185
K3 - 703 ;0.377
K3 - 735 ;0.5
K3 - 887 ;0.151
K4 - 171 ;0.636
K4 - 35 ;0.33
K4 - 402 ;1.243
K4 - 609 ;0.572
K4 - 680 ;0.523
K4 - 698 ;0.594
K4 - 703 ;0.193
K4 - 735 ;0.316
K4 - 887 ;0.041
GA1 - 171 ;0.393
GA1 - 35 ;0.694
GA1 - 402 ;0.684
GA1 - 609 ;0.525
GA1 - 680 ;0.539
GA1 - 698 ;0.243
GA1 - 703 ;0.389
GA1 - 735 ;0.171
GA1 - 887 ;0.181
GA2 - 171 ;0.574
GA2 - 35 ;0.418
GA2 - 402 ;0.712
GA2 - 609 ;0.688
GA2 - 680 ;0.606
GA2 - 698 ;0.546
GA2 - 703 ;0.204
GA2 - 735 ;0.339
GA2 - 887 ;0.196
GA3 - 171 ;0.408
GA3 - 35 ;0.827
GA3 - 402 ;0.666
GA3 - 609 ;0.893
GA3 - 680 ;0.303
GA3 - 698 ;0.314
GA3 - 703 ;0.284
GA3 - 735 ;0.315
GA3 - 887 ;0.181
GA4 - 171 ;0.366
GA4 - 35 ;0.725
GA4 - 402 ;0.637
GA4 - 609 ;0.512
GA4 - 680 ;0.438
GA4 - 698 ;0.569
GA4 - 703 ;0.371
GA4 - 735 ;0.304
GA4 - 887 ;0.386
K1 - 171 ;0.441
K1 - 35 ;0.562
K1 - 402 ;0.674
K1 - 609 ;0.515
K1 - 680 ;0.697
K1 - 698 ;0.549
K1 - 703 ;0.298
K1 - 735 ;0.38
K1 - 887 ;0.131
K2 - 171 ;0.498
K2 - 35 ;0.529
K2 - 402 ;0.702
K2 - 609 ;0.848
K2 - 680 ;0.488
K2 - 698 ;0.425
K2 - 703 ;0.328
K2 - 735 ;0.637
K2 - 887 ;0.113
K3 - 171 ;0.408
K3 - 35 ;0.511
K3 - 402 ;0.847
K3 - 609 ;0.887
K3 - 680 ;0.576
K3 - 698 ;0.354
K3 - 703 ;0.252
K3 - 735 ;0.582
K3 - 887 ;0.114
K4 - 171 ;0.551
K4 - 35 ;0.453
K4 - 402 ;0.814
K4 - 609 ;0.813
K4 - 680 ;0.611
K4 - 698 ;0.478
K4 - 703 ;0.338
K4 - 735 ;0.421
K4 - 887 ;0.131
GA1 - 171 ;0.347
GA1 - 35 ;0.452
GA1 - 402 ;1.651
GA1 - 609 ;0.777
GA1 - 680 ;0.443
GA1 - 698 ;0.309
GA1 - 703 ;0.347
GA1 - 735 ;0.398
GA1 - 887 ;0.357
GA2 - 171 ;0.485
GA2 - 35 ;1.059
GA2 - 402 ;0.272
GA2 - 609 ;0.956
GA2 - 680 ;0.543
GA2 - 698 ;0.582
GA2 - 703 ;0.392
GA2 - 735 ;0.557
GA2 - 887 ;0.394
GA3 - 171 ;0.63
GA3 - 35 ;0.646
GA3 - 402 ;0.305
GA3 - 609 ;0.708
GA3 - 680 ;0.572
GA3 - 698 ;0.576
GA3 - 703 ;0.333
GA3 - 735 ;0.608
GA3 - 887 ;0.615
GA4 - 171 ;0.885
GA4 - 35 ;0.474
GA4 - 402 ;1.177
GA4 - 609 ;1.012
GA4 - 680 ;1.296
GA4 - 698 ;0.633
GA4 - 703 ;0.341
GA4 - 735 ;0.636
GA4 - 887 ;0.389
K1 - 171 ;0.558
K1 - 35 ;0.767
K1 - 402 ;0.975
K1 - 609 ;0.741
K1 - 680 ;0.625
K1 - 698 ;0.517
K1 - 703 ;0.372
K1 - 735 ;0.518
K1 - 887 ;0.396
K2 - 171 ;0.366
K2 - 35 ;0.72
K2 - 402 ;1.029
K2 - 609 ;0.621
K2 - 680 ;0.201
K2 - 698 ;0.51
K2 - 703 ;0.335
K2 - 735 ;0.617
K2 - 887 ;0.744
K3 - 171 ;0.579
K3 - 35 ;0.459
K3 - 402 ;0.805
K3 - 609 ;1.436
K3 - 680 ;0.375
K3 - 698 ;0.644
K3 - 703 ;0.253
K3 - 735 ;0.577
K3 - 887 ;0.267
K4 - 171 ;0.451
K4 - 35 ;0.438
K4 - 402 ;1.39
K4 - 609 ;1.382
K4 - 680 ;0.777
K4 - 698 ;0.682
K4 - 703 ;0.618
K4 - 735 ;0.539
K4 - 887 ;0.203
GA1 - 171 ;1.31
GA1 - 35 ;1.42
GA1 - 402 ;1.422
GA1 - 609 ;1.211
GA1 - 680 ;0.762
GA1 - 698 ;0.719
GA1 - 703 ;0.508
GA1 - 735 ;0.718
GA1 - 887 ;2.462
GA2 - 171 ;1.127
GA2 - 35 ;1.484
GA2 - 402 ;1.189
GA2 - 609 ;1.401
GA2 - 680 ;1.153
GA2 - 698 ;0.937
GA2 - 703 ;0.664
GA2 - 735 ;0.397
GA2 - 887 ;0.856
GA3 - 171 ;0.924
GA3 - 35 ;1.25
GA3 - 402 ;0.488
GA3 - 609 ;1.02
GA3 - 680 ;0.707
GA3 - 698 ;1.601
GA3 - 703 ;0.651
GA3 - 735 ;0.685
GA3 - 887 ;0.714
GA4 - 171 ;0.81
GA4 - 35 ;0.887
GA4 - 402 ;0.697
GA4 - 609 ;1.698
GA4 - 680 ;0.908
GA4 - 698 ;0.874
GA4 - 703 ;0.986
GA4 - 735 ;1.074
GA4 - 887 ;0.718
K1 - 171 ;0.799
K1 - 35 ;0.699
K1 - 402 ;1.02
K1 - 609 ;0.926
K1 - 680 ;0.822
K1 - 698 ;0.733
K1 - 703 ;0.497
K1 - 735 ;0.849
K1 - 887 ;0.266
K2 - 171 ;0.674
K2 - 35 ;0.939
K2 - 402 ;0.615
K2 - 609 ;1.394
K2 - 680 ;0.503
K2 - 698 ;0.905
K2 - 703 ;0.461
K2 - 735 ;0.718
K2 - 887 ;0.576
K3 - 171 ;0.391
K3 - 35 ;1.31
K3 - 402 ;0.9
K3 - 609 ;1.153
K3 - 680 ;0.385
K3 - 698 ;0.886
K3 - 703 ;0.524
K3 - 735 ;0.799
K3 - 887 ;0.627
K4 - 171 ;1.17
K4 - 35 ;0.773
K4 - 402 ;0.996
K4 - 609 ;1.354
K4 - 680 ;0.545
K4 - 698 ;0.773
K4 - 703 ;0.719
K4 - 735 ;0.65
K4 - 887 ;0.57
;
GA7;
GA1 - 171 ;3.01
GA1 - 35 ;2.5
GA1 - 402 ;2.86
GA1 - 609 ;2.85
GA1 - 680 ;0.77
GA1 - 698 ;1.27
GA1 - 703 ;1.71
GA1 - 735 ;0.34
GA1 - 887 ;1.89
GA2 - 171 ;3.37
GA2 - 35 ;3.15
GA2 - 402 ;3.34
GA2 - 609 ;5.94
GA2 - 680 ;2.34
GA2 - 698 ;1.33
GA2 - 703 ;1.78
GA2 - 735 ;0.74
GA2 - 887 ;4.7
GA3 - 171 ;3.02
GA3 - 35 ;1.75
GA3 - 402 ;1.74
GA3 - 609 ;3.74
GA3 - 680 ;1.69
GA3 - 698 ;2.2
GA3 - 703 ;3.44
GA3 - 735 ;1.47
GA3 - 887 ;1.8
GA4 - 171 ;0.55
GA4 - 35 ;1.37
GA4 - 402 ;3.33
GA4 - 609 ;9.6
GA4 - 680 ;2.67
GA4 - 698 ;1.36
GA4 - 703 ;2.08
GA4 - 735 ;0.63
GA4 - 887 ;3.27
K1 - 171 ;3.47
K1 - 35 ;1.49
K1 - 402 ;2.4
K1 - 609 ;4.49
K1 - 680 ;1.75
K1 - 698 ;1.28
K1 - 703 ;3.04
K1 - 735 ;1.46
K1 - 887 ;0.42
K2 - 171 ;4.11
K2 - 35 ;5.73
K2 - 402 ;1.85
K2 - 609 ;3.08
K2 - 680 ;1.69
K2 - 698 ;1.14
K2 - 703 ;0.75
K2 - 735 ;0.26
K2 - 887 ;0.37
K3 - 171 ;3.76
K3 - 35 ;5.44
K3 - 402 ;3.49
K3 - 609 ;3.26
K3 - 680 ;3.08
K3 - 698 ;0.4
K3 - 703 ;1.67
K3 - 735 ;0.85
K3 - 887 ;0.57
K4 - 171 ;4.27
K4 - 35 ;2.27
K4 - 402 ;2.39
K4 - 609 ;2.81
K4 - 680 ;1.56
K4 - 698 ;1.41
K4 - 703 ;2.52
K4 - 735 ;1.49
K4 - 887 ;0.5
GA1 - 171 ;2.36
GA1 - 35 ;3.37
GA1 - 402 ;1.59
GA1 - 609 ;2.34
GA1 - 680 ;1.08
GA1 - 698 ;1.09
GA1 - 703 ;2.52
GA1 - 735 ;1.51
GA1 - 887 ;1.94
GA2 - 171 ;2.61
GA2 - 35 ;6.34
GA2 - 402 ;1.86
GA2 - 609 ;3.72
GA2 - 680 ;1.42
GA2 - 698 ;2.27
GA2 - 703 ;3.47
GA2 - 735 ;0.79
GA2 - 887 ;1.6
GA3 - 171 ;3.1
GA3 - 35 ;2.55
GA3 - 402 ;1.16
GA3 - 609 ;5.96
GA3 - 680 ;0.49
GA3 - 698 ;1.97
GA3 - 703 ;3.83
GA3 - 735 ;1.26
GA3 - 887 ;0.49
GA4 - 171 ;4.0
GA4 - 35 ;4.75
GA4 - 402 ;2.36
GA4 - 609 ;2.31
GA4 - 680 ;3.17
GA4 - 698 ;1.95
GA4 - 703 ;3.36
GA4 - 735 ;1.71
GA4 - 887 ;2.69
K1 - 171 ;1.99
K1 - 35 ;2.5
K1 - 402 ;1.34
K1 - 609 ;2.73
K1 - 680 ;2.93
K1 - 698 ;1.66
K1 - 703 ;3.93
K1 - 735 ;0.86
K1 - 887 ;0.57
K2 - 171 ;1.59
K2 - 35 ;3.02
K2 - 402 ;2.08
K2 - 609 ;0.81
K2 - 680 ;1.58
K2 - 698 ;1.15
K2 - 703 ;2.77
K2 - 735 ;0.73
K2 - 887 ;0.94
K3 - 171 ;1.97
K3 - 35 ;3.05
K3 - 402 ;4.54
K3 - 609 ;1.89
K3 - 680 ;1.09
K3 - 698 ;1.34
K3 - 703 ;1.47
K3 - 735 ;0.82
K3 - 887 ;0.73
K4 - 171 ;1.5
K4 - 35 ;1.33
K4 - 402 ;1.95
K4 - 609 ;1.74
K4 - 680 ;2.39
K4 - 698 ;2.85
K4 - 703 ;3.07
K4 - 735 ;0.95
K4 - 887 ;1.1
GA1 - 171 ;3.08
GA1 - 35 ;4.69
GA1 - 402 ;163.01
GA1 - 609 ;5.12
GA1 - 680 ;1.21
GA1 - 698 ;230.22
GA1 - 703 ;6.9
GA1 - 735 ;3.23
GA1 - 887 ;9.94
GA2 - 171 ;2.81
GA2 - 35 ;79.02
GA2 - 402 ;9.02
GA2 - 609 ;19.21
GA2 - 680 ;0.86
GA2 - 698 ;7.07
GA2 - 703 ;2.98
GA2 - 735 ;9.71
GA2 - 887 ;25.15
GA3 - 171 ;8.93
GA3 - 35 ;4.62
GA3 - 402 ;6.01
GA3 - 609 ;7.8
GA3 - 680 ;27.55
GA3 - 698 ;1.84
GA3 - 703 ;0.65
GA3 - 735 ;170.29
GA3 - 887 ;36.86
GA4 - 171 ;29.37
GA4 - 35 ;7.29
GA4 - 402 ;1.57
GA4 - 609 ;8.01
GA4 - 680 ;31.18
GA4 - 698 ;3.96
GA4 - 703 ;5.31
GA4 - 735 ;83.14
GA4 - 887 ;54.03
K1 - 171 ;1.77
K1 - 35 ;3.29
K1 - 402 ;2.09
K1 - 609 ;1.4
K1 - 680 ;5.61
K1 - 698 ;1.31
K1 - 703 ;0.61
K1 - 735 ;0.78
K1 - 887 ;1.11
K2 - 171 ;0.46
K2 - 35 ;1.19
K2 - 402 ;1.76
K2 - 609 ;
K2 - 680 ;2.08
K2 - 698 ;0.36
K2 - 703 ;1.16
K2 - 735 ;0.32
K2 - 887 ;0.88
K3 - 171 ;0.92
K3 - 35 ;0.29
K3 - 402 ;1.83
K3 - 609 ;0.72
K3 - 680 ;1.53
K3 - 698 ;0.48
K3 - 703 ;1.66
K3 - 735 ;0.5
K3 - 887 ;0.81
K4 - 171 ;0.75
K4 - 35 ;1.61
K4 - 402 ;1.71
K4 - 609 ;1.19
K4 - 680 ;2.1
K4 - 698 ;0.57
K4 - 703 ;1.07
K4 - 735 ;0.87
K4 - 887 ;0.4
GA1 - 171 ;1.07
GA1 - 35 ;1.31
GA1 - 402 ;1.39
GA1 - 609 ;4.68
GA1 - 680 ;1.74
GA1 - 698 ;5.01
GA1 - 703 ;0.67
GA1 - 735 ;9.32
GA1 - 887 ;165.7
GA2 - 171 ;2.36
GA2 - 35 ;61.57
GA2 - 402 ;3.12
GA2 - 609 ;0.96
GA2 - 680 ;1.08
GA2 - 698 ;20.22
GA2 - 703 ;1.32
GA2 - 735 ;4.09
GA2 - 887 ;95.73
GA3 - 171 ;5.7
GA3 - 35 ;0.18
GA3 - 402 ;0.92
GA3 - 609 ;0.33
GA3 - 680 ;10.55
GA3 - 698 ;57.65
GA3 - 703 ;1.3
GA3 - 735 ;6.43
GA3 - 887 ;91.31
GA4 - 171 ;7.82
GA4 - 35 ;0.28
GA4 - 402 ;2.1
GA4 - 609 ;5.89
GA4 - 680 ;7.9
GA4 - 698 ;0.47
GA4 - 703 ;17.85
GA4 - 735 ;23.07
GA4 - 887 ;23.65
K1 - 171 ;2.5
K1 - 35 ;
K1 - 402 ;2.79
K1 - 609 ;1.35
K1 - 680 ;0.92
K1 - 698 ;3.15
K1 - 703 ;0.55
K1 - 735 ;2.17
K1 - 887 ;3.46
K2 - 171 ;0.61
K2 - 35 ;
K2 - 402 ;1.0
K2 - 609 ;0.55
K2 - 680 ;1.23
K2 - 698 ;4.01
K2 - 703 ;0.25
K2 - 735 ;2.03
K2 - 887 ;3.84
K3 - 171 ;1.65
K3 - 35 ;
K3 - 402 ;3.65
K3 - 609 ;
K3 - 680 ;0.83
K3 - 698 ;3.32
K3 - 703 ;0.26
K3 - 735 ;2.22
K3 - 887 ;4.54
K4 - 171 ;0.95
K4 - 35 ;
K4 - 402 ;1.81
K4 - 609 ;0.35
K4 - 680 ;2.18
K4 - 698 ;1.53
K4 - 703 ;0.93
K4 - 735 ;1.66
K4 - 887 ;1.16
;
GA3;
GA1 - 171 ;80.409
GA1 - 35 ;45.756
GA1 - 402 ;71.813
GA1 - 609 ;60.54
GA1 - 680 ;110.429
GA1 - 698 ;31.675
GA1 - 703 ;46.661
GA1 - 735 ;28.272
GA1 - 887 ;22.218
GA2 - 171 ;75.756
GA2 - 35 ;35.661
GA2 - 402 ;75.639
GA2 - 609 ;55.703
GA2 - 680 ;101.828
GA2 - 698 ;50.438
GA2 - 703 ;50.706
GA2 - 735 ;54.129
GA2 - 887 ;35.117
GA3 - 171 ;84.373
GA3 - 35 ;44.457
GA3 - 402 ;85.944
GA3 - 609 ;54.348
GA3 - 680 ;88.542
GA3 - 698 ;92.366
GA3 - 703 ;38.788
GA3 - 735 ;68.149
GA3 - 887 ;37.68
GA4 - 171 ;61.786
GA4 - 35 ;58.685
GA4 - 402 ;63.655
GA4 - 609 ;71.485
GA4 - 680 ;116.463
GA4 - 698 ;80.844
GA4 - 703 ;49.294
GA4 - 735 ;59.91
GA4 - 887 ;40.464
K1 - 171 ;78.551
K1 - 35 ;54.708
K1 - 402 ;62.932
K1 - 609 ;57.507
K1 - 680 ;118.642
K1 - 698 ;108.281
K1 - 703 ;35.494
K1 - 735 ;88.291
K1 - 887 ;18.974
K2 - 171 ;82.818
K2 - 35 ;50.085
K2 - 402 ;85.379
K2 - 609 ;53.392
K2 - 680 ;102.748
K2 - 698 ;81.246
K2 - 703 ;9.816
K2 - 735 ;70.142
K2 - 887 ;38.549
K3 - 171 ;79.452
K3 - 35 ;52.703
K3 - 402 ;70.122
K3 - 609 ;61.779
K3 - 680 ;102.578
K3 - 698 ;41.126
K3 - 703 ;51.597
K3 - 735 ;70.327
K3 - 887 ;16.559
K4 - 171 ;66.546
K4 - 35 ;66.397
K4 - 402 ;61.841
K4 - 609 ;59.122
K4 - 680 ;111.768
K4 - 698 ;104.799
K4 - 703 ;34.728
K4 - 735 ;64.283
K4 - 887 ;17.761
GA1 - 171 ;61.558
GA1 - 35 ;92.481
GA1 - 402 ;65.497
GA1 - 609 ;88.798
GA1 - 680 ;134.568
GA1 - 698 ;50.586
GA1 - 703 ;63.526
GA1 - 735 ;46.176
GA1 - 887 ;28.019
GA2 - 171 ;73.642
GA2 - 35 ;59.004
GA2 - 402 ;68.394
GA2 - 609 ;80.253
GA2 - 680 ;76.198
GA2 - 698 ;47.991
GA2 - 703 ;56.295
GA2 - 735 ;45.698
GA2 - 887 ;21.598
GA3 - 171 ;86.543
GA3 - 35 ;67.676
GA3 - 402 ;68.59
GA3 - 609 ;64.542
GA3 - 680 ;52.42
GA3 - 698 ;69.527
GA3 - 703 ;43.961
GA3 - 735 ;74.899
GA3 - 887 ;31.491
GA4 - 171 ;74.916
GA4 - 35 ;63.756
GA4 - 402 ;61.614
GA4 - 609 ;58.121
GA4 - 680 ;79.856
GA4 - 698 ;61.293
GA4 - 703 ;52.185
GA4 - 735 ;57.755
GA4 - 887 ;42.95
K1 - 171 ;72.245
K1 - 35 ;81.156
K1 - 402 ;45.702
K1 - 609 ;70.836
K1 - 680 ;92.503
K1 - 698 ;76.664
K1 - 703 ;41.626
K1 - 735 ;46.771
K1 - 887 ;11.971
K2 - 171 ;72.383
K2 - 35 ;81.299
K2 - 402 ;62.008
K2 - 609 ;68.727
K2 - 680 ;92.364
K2 - 698 ;61.728
K2 - 703 ;43.077
K2 - 735 ;70.341
K2 - 887 ;13.465
K3 - 171 ;76.025
K3 - 35 ;43.82
K3 - 402 ;50.492
K3 - 609 ;94.305
K3 - 680 ;109.764
K3 - 698 ;70.999
K3 - 703 ;35.213
K3 - 735 ;53.068
K3 - 887 ;20.042
K4 - 171 ;86.516
K4 - 35 ;54.016
K4 - 402 ;52.428
K4 - 609 ;62.54
K4 - 680 ;81.472
K4 - 698 ;77.765
K4 - 703 ;58.583
K4 - 735 ;50.315
K4 - 887 ;27.846
GA1 - 171 ;43.698
GA1 - 35 ;94.104
GA1 - 402 ;74.838
GA1 - 609 ;86.936
GA1 - 680 ;177.185
GA1 - 698 ;56.441
GA1 - 703 ;58.114
GA1 - 735 ;82.54
GA1 - 887 ;60.151
GA2 - 171 ;78.009
GA2 - 35 ;92.02
GA2 - 402 ;46.655
GA2 - 609 ;112.023
GA2 - 680 ;190.168
GA2 - 698 ;68.039
GA2 - 703 ;71.087
GA2 - 735 ;66.394
GA2 - 887 ;57.14
GA3 - 171 ;73.004
GA3 - 35 ;88.317
GA3 - 402 ;32.381
GA3 - 609 ;85.654
GA3 - 680 ;162.081
GA3 - 698 ;97.424
GA3 - 703 ;37.182
GA3 - 735 ;82.599
GA3 - 887 ;84.289
