GA4;
GA4 - 171 ;95.714
GA4 - 35 ;93.105
GA4 - 402 ;97.042
GA4 - 609 ;91.606
GA4 - 680 ;161.953
GA4 - 698 ;91.945
GA4 - 703 ;52.081
GA4 - 735 ;80.865
GA4 - 887 ;66.708
K1 - 171 ;78.273
K1 - 35 ;105.706
K1 - 402 ;92.983
K1 - 609 ;63.553
K1 - 680 ;163.368
K1 - 698 ;94.861
K1 - 703 ;53.989
K1 - 735 ;58.33
K1 - 887 ;77.419
K2 - 171 ;52.853
K2 - 35 ;103.707
K2 - 402 ;80.563
K2 - 609 ;65.715
K2 - 680 ;71.51
K2 - 698 ;69.345
K2 - 703 ;59.078
K2 - 735 ;91.107
K2 - 887 ;96.626
K3 - 171 ;80.154
K3 - 35 ;111.104
K3 - 402 ;90.108
K3 - 609 ;102.452
K3 - 680 ;78.284
K3 - 698 ;100.677
K3 - 703 ;80.038
K3 - 735 ;78.068
K3 - 887 ;55.699
K4 - 171 ;94.122
K4 - 35 ;108.938
K4 - 402 ;72.231
K4 - 609 ;107.63
K4 - 680 ;153.927
K4 - 698 ;93.039
K4 - 703 ;86.403
K4 - 735 ;52.859
K4 - 887 ;45.178
GA1 - 171 ;45.41
GA1 - 35 ;3.143
GA1 - 402 ;43.622
GA1 - 609 ;11.819
GA1 - 680 ;110.116
GA1 - 698 ;54.146
GA1 - 703 ;20.8
GA1 - 735 ;38.976
GA1 - 887 ;112.321
GA2 - 171 ;39.545
GA2 - 35 ;3.896
GA2 - 402 ;48.071
GA2 - 609 ;15.826
GA2 - 680 ;88.941
GA2 - 698 ;67.323
GA2 - 703 ;16.512
GA2 - 735 ;38.659
GA2 - 887 ;85.024
GA3 - 171 ;50.0
GA3 - 35 ;5.785
GA3 - 402 ;40.387
GA3 - 609 ;13.364
GA3 - 680 ;78.914
GA3 - 698 ;53.113
GA3 - 703 ;12.17
GA3 - 735 ;58.565
GA3 - 887 ;85.881
GA4 - 171 ;43.638
GA4 - 35 ;7.117
GA4 - 402 ;25.505
GA4 - 609 ;16.05
GA4 - 680 ;46.566
GA4 - 698 ;65.381
GA4 - 703 ;12.547
GA4 - 735 ;55.695
GA4 - 887 ;132.031
K1 - 171 ;50.676
K1 - 35 ;15.863
K1 - 402 ;34.797
K1 - 609 ;15.788
K1 - 680 ;109.888
K1 - 698 ;68.751
K1 - 703 ;21.505
K1 - 735 ;78.223
K1 - 887 ;31.829
K2 - 171 ;48.048
K2 - 35 ;18.526
K2 - 402 ;51.753
K2 - 609 ;12.054
K2 - 680 ;77.882
K2 - 698 ;51.807
K2 - 703 ;22.745
K2 - 735 ;94.13
K2 - 887 ;81.384
K3 - 171 ;37.58
K3 - 35 ;11.271
K3 - 402 ;53.667
K3 - 609 ;18.835
K3 - 680 ;79.625
K3 - 698 ;63.328
K3 - 703 ;23.7
K3 - 735 ;104.265
K3 - 887 ;69.336
K4 - 171 ;40.687
K4 - 35 ;8.17
K4 - 402 ;39.885
K4 - 609 ;12.48
K4 - 680 ;133.976
K4 - 698 ;47.57
K4 - 703 ;18.953
K4 - 735 ;58.658
K4 - 887 ;73.691
;
GA5;
GA1 - 171 ;21.56
GA1 - 35 ;8.87
GA1 - 402 ;13.9
GA1 - 609 ;16.64
GA1 - 680 ;13.4
GA1 - 698 ;2.15
GA1 - 703 ;5.14
GA1 - 735 ;2.94
GA1 - 887 ;5.91
GA2 - 171 ;17.23
GA2 - 35 ;5.51
GA2 - 402 ;14.73
GA2 - 609 ;13.46
GA2 - 680 ;11.94
GA2 - 698 ;4.67
GA2 - 703 ;8.81
GA2 - 735 ;9.5
GA2 - 887 ;7.16
GA3 - 171 ;20.65
GA3 - 35 ;5.46
GA3 - 402 ;32.25
GA3 - 609 ;12.68
GA3 - 680 ;11.33
GA3 - 698 ;5.75
GA3 - 703 ;6.12
GA3 - 735 ;11.36
GA3 - 887 ;9.82
GA4 - 171 ;27.64
GA4 - 35 ;10.07
GA4 - 402 ;15.65
GA4 - 609 ;22.18
GA4 - 680 ;15.05
GA4 - 698 ;7.79
GA4 - 703 ;6.43
GA4 - 735 ;8.46
GA4 - 887 ;15.73
K1 - 171 ;20.69
K1 - 35 ;4.11
K1 - 402 ;19.87
K1 - 609 ;8.0
K1 - 680 ;15.66
K1 - 698 ;8.58
K1 - 703 ;4.76
K1 - 735 ;9.59
K1 - 887 ;9.16
K2 - 171 ;24.32
K2 - 35 ;5.43
K2 - 402 ;24.45
K2 - 609 ;21.13
K2 - 680 ;14.84
K2 - 698 ;6.75
K2 - 703 ;1.51
K2 - 735 ;11.43
K2 - 887 ;15.07
K3 - 171 ;25.71
K3 - 35 ;3.46
K3 - 402 ;19.78
K3 - 609 ;15.42
K3 - 680 ;13.6
K3 - 698 ;5.67
K3 - 703 ;5.94
K3 - 735 ;11.93
K3 - 887 ;3.85
K4 - 171 ;17.27
K4 - 35 ;5.45
K4 - 402 ;20.39
K4 - 609 ;13.59
K4 - 680 ;17.34
K4 - 698 ;5.54
K4 - 703 ;3.68
K4 - 735 ;10.05
K4 - 887 ;5.63
GA1 - 171 ;12.23
GA1 - 35 ;12.25
GA1 - 402 ;11.99
GA1 - 609 ;17.04
GA1 - 680 ;19.34
GA1 - 698 ;3.41
GA1 - 703 ;6.83
GA1 - 735 ;7.61
GA1 - 887 ;7.46
GA2 - 171 ;18.46
GA2 - 35 ;10.58
GA2 - 402 ;10.97
GA2 - 609 ;28.33
GA2 - 680 ;15.45
GA2 - 698 ;5.65
GA2 - 703 ;6.39
GA2 - 735 ;14.86
GA2 - 887 ;8.11
GA3 - 171 ;21.94
GA3 - 35 ;10.57
GA3 - 402 ;30.03
GA3 - 609 ;22.5
GA3 - 680 ;5.21
GA3 - 698 ;5.88
GA3 - 703 ;7.26
GA3 - 735 ;10.33
GA3 - 887 ;6.04
GA4 - 171 ;18.73
GA4 - 35 ;13.38
GA4 - 402 ;10.72
GA4 - 609 ;16.21
GA4 - 680 ;14.3
GA4 - 698 ;6.18
GA4 - 703 ;6.43
GA4 - 735 ;9.95
GA4 - 887 ;8.05
K1 - 171 ;18.96
K1 - 35 ;13.83
K1 - 402 ;26.23
K1 - 609 ;19.01
K1 - 680 ;14.96
K1 - 698 ;4.75
K1 - 703 ;4.4
K1 - 735 ;9.06
K1 - 887 ;3.88
K2 - 171 ;13.05
K2 - 35 ;15.03
K2 - 402 ;25.3
K2 - 609 ;17.97
K2 - 680 ;10.95
K2 - 698 ;5.82
K2 - 703 ;4.12
K2 - 735 ;8.1
K2 - 887 ;7.1
K3 - 171 ;14.11
K3 - 35 ;12.47
K3 - 402 ;20.98
K3 - 609 ;16.1
K3 - 680 ;12.92
K3 - 698 ;14.7
K3 - 703 ;4.11
K3 - 735 ;7.48
K3 - 887 ;6.26
K4 - 171 ;22.4
K4 - 35 ;11.56
K4 - 402 ;16.39
K4 - 609 ;17.54
K4 - 680 ;13.12
K4 - 698 ;6.53
K4 - 703 ;4.69
K4 - 735 ;9.68
K4 - 887 ;7.04
GA1 - 171 ;14.6
GA1 - 35 ;23.24
GA1 - 402 ;20.82
GA1 - 609 ;38.65
GA1 - 680 ;34.55
GA1 - 698 ;4.82
GA1 - 703 ;9.71
GA1 - 735 ;18.9
GA1 - 887 ;8.83
GA2 - 171 ;20.99
GA2 - 35 ;10.69
GA2 - 402 ;17.98
GA2 - 609 ;28.71
GA2 - 680 ;27.34
GA2 - 698 ;8.38
GA2 - 703 ;9.36
GA2 - 735 ;13.75
GA2 - 887 ;11.52
GA3 - 171 ;14.48
GA3 - 35 ;10.26
GA3 - 402 ;6.9
GA3 - 609 ;52.46
GA3 - 680 ;21.99
GA3 - 698 ;10.23
GA3 - 703 ;8.31
GA3 - 735 ;8.09
GA3 - 887 ;7.74
GA4 - 171 ;21.38
GA4 - 35 ;19.82
GA4 - 402 ;27.19
GA4 - 609 ;43.48
GA4 - 680 ;29.05
GA4 - 698 ;11.57
GA4 - 703 ;6.16
GA4 - 735 ;13.0
GA4 - 887 ;11.08
K1 - 171 ;26.28
K1 - 35 ;15.41
K1 - 402 ;22.63
K1 - 609 ;39.26
K1 - 680 ;30.4
K1 - 698 ;51.01
K1 - 703 ;8.01
K1 - 735 ;8.74
K1 - 887 ;11.5
K2 - 171 ;14.9
K2 - 35 ;26.22
K2 - 402 ;22.99
K2 - 609 ;39.24
K2 - 680 ;14.77
K2 - 698 ;11.96
K2 - 703 ;8.0
K2 - 735 ;16.75
K2 - 887 ;18.97
K3 - 171 ;27.25
K3 - 35 ;16.56
K3 - 402 ;25.22
K3 - 609 ;49.58
K3 - 680 ;14.65
K3 - 698 ;12.72
K3 - 703 ;18.77
K3 - 735 ;16.96
K3 - 887 ;7.2
K4 - 171 ;29.58
K4 - 35 ;9.56
K4 - 402 ;22.05
K4 - 609 ;51.35
K4 - 680 ;20.73
K4 - 698 ;9.53
K4 - 703 ;14.03
K4 - 735 ;11.24
K4 - 887 ;11.36
GA1 - 171 ;22.32
GA1 - 35 ;2.68
GA1 - 402 ;22.88
GA1 - 609 ;30.49
GA1 - 680 ;26.47
GA1 - 698 ;10.48
GA1 - 703 ;9.03
GA1 - 735 ;12.77
GA1 - 887 ;18.85
GA2 - 171 ;14.2
GA2 - 35 ;3.16
GA2 - 402 ;36.54
GA2 - 609 ;25.39
GA2 - 680 ;40.31
GA2 - 698 ;17.31
GA2 - 703 ;7.89
GA2 - 735 ;14.95
GA2 - 887 ;20.47
GA3 - 171 ;24.21
GA3 - 35 ;5.2
GA3 - 402 ;13.68
GA3 - 609 ;31.9
GA3 - 680 ;33.77
GA3 - 698 ;10.35
GA3 - 703 ;8.57
GA3 - 735 ;11.41
GA3 - 887 ;14.19
GA4 - 171 ;23.65
GA4 - 35 ;5.09
GA4 - 402 ;14.94
GA4 - 609 ;26.47
GA4 - 680 ;36.05
GA4 - 698 ;8.58
GA4 - 703 ;7.29
GA4 - 735 ;18.93
GA4 - 887 ;29.47
K1 - 171 ;22.22
K1 - 35 ;5.19
K1 - 402 ;35.6
K1 - 609 ;36.36
K1 - 680 ;28.52
K1 - 698 ;12.47
K1 - 703 ;7.81
K1 - 735 ;18.66
K1 - 887 ;8.93
K2 - 171 ;22.61
K2 - 35 ;14.19
K2 - 402 ;35.03
K2 - 609 ;24.88
K2 - 680 ;20.5
K2 - 698 ;10.55
K2 - 703 ;4.86
K2 - 735 ;29.23
K2 - 887 ;16.04
K3 - 171 ;22.45
K3 - 35 ;5.82
K3 - 402 ;46.91
K3 - 609 ;27.63
K3 - 680 ;7.61
K3 - 698 ;11.02
K3 - 703 ;8.27
K3 - 735 ;43.88
K3 - 887 ;21.81
K4 - 171 ;17.92
K4 - 35 ;7.57
K4 - 402 ;23.38
K4 - 609 ;31.29
K4 - 680 ;41.8
K4 - 698 ;9.25
K4 - 703 ;6.43
K4 - 735 ;17.3
K4 - 887 ;20.02
;
GA34;
GA1 - 171 ;0.4
GA1 - 35 ;0.88
GA1 - 402 ;0.25
GA1 - 609 ;0.19
GA1 - 680 ;4.56
GA1 - 698 ;0.0
GA1 - 703 ;0.23
GA1 - 735 ;0.12
GA1 - 887 ;0.13
GA2 - 171 ;0.33
GA2 - 35 ;0.57
GA2 - 402 ;0.04
GA2 - 609 ;0.05
GA2 - 680 ;4.89
GA2 - 698 ;0.08
GA2 - 703 ;0.22
GA2 - 735 ;0.13
GA2 - 887 ;0.07
GA3 - 171 ;0.24
GA3 - 35 ;0.34
GA3 - 402 ;0.2
GA3 - 609 ;0.18
GA3 - 680 ;1.53
GA3 - 698 ;0.01
GA3 - 703 ;0.68
GA3 - 735 ;0.22
GA3 - 887 ;0.15
GA4 - 171 ;0.56
GA4 - 35 ;0.69
GA4 - 402 ;0.24
GA4 - 609 ;0.23
GA4 - 680 ;3.31
GA4 - 698 ;0.02
GA4 - 703 ;1.19
GA4 - 735 ;0.2
GA4 - 887 ;0.2
K1 - 171 ;0.56
K1 - 35 ;0.42
K1 - 402 ;0.6
K1 - 609 ;0.71
K1 - 680 ;11.47
K1 - 698 ;0.02
K1 - 703 ;0.32
K1 - 735 ;1.07
K1 - 887 ;0.06
K2 - 171 ;0.21
K2 - 35 ;0.35
K2 - 402 ;0.41
K2 - 609 ;0.28
K2 - 680 ;2.54
K2 - 698 ;0.02
K2 - 703 ;0.04
K2 - 735 ;0.51
K2 - 887 ;0.04
K3 - 171 ;0.13
K3 - 35 ;0.27
K3 - 402 ;0.24
K3 - 609 ;0.5
K3 - 680 ;7.39
K3 - 698 ;0.01
K3 - 703 ;0.65
K3 - 735 ;0.32
K3 - 887 ;0.11
K4 - 171 ;1.03
K4 - 35 ;0.28
K4 - 402 ;0.37
K4 - 609 ;0.16
K4 - 680 ;1.93
K4 - 698 ;0.04
K4 - 703 ;0.7
K4 - 735 ;0.15
K4 - 887 ;0.18
GA1 - 171 ;0.13
GA1 - 35 ;1.17
GA1 - 402 ;0.04
GA1 - 609 ;0.35
GA1 - 680 ;1.8
GA1 - 698 ;0.03
GA1 - 703 ;0.65
GA1 - 735 ;0.16
GA1 - 887 ;0.11
GA2 - 171 ;0.26
GA2 - 35 ;1.98
GA2 - 402 ;0.07
GA2 - 609 ;0.5
GA2 - 680 ;2.37
GA2 - 698 ;0.09
GA2 - 703 ;0.69
GA2 - 735 ;0.41
GA2 - 887 ;0.27
GA3 - 171 ;0.23
GA3 - 35 ;1.13
GA3 - 402 ;
GA3 - 609 ;0.44
GA3 - 680 ;0.86
GA3 - 698 ;0.03
GA3 - 703 ;1.02
GA3 - 735 ;0.59
GA3 - 887 ;0.22
GA4 - 171 ;0.16
GA4 - 35 ;1.5
GA4 - 402 ;0.13
GA4 - 609 ;0.54
GA4 - 680 ;2.03
GA4 - 698 ;0.06
GA4 - 703 ;1.23
GA4 - 735 ;0.53
GA4 - 887 ;0.24
K1 - 171 ;0.08
K1 - 35 ;1.06
K1 - 402 ;0.1
K1 - 609 ;0.4
K1 - 680 ;2.2
K1 - 698 ;0.07
K1 - 703 ;1.44
K1 - 735 ;1.22
K1 - 887 ;0.04
K2 - 171 ;0.33
K2 - 35 ;2.08
K2 - 402 ;0.17
K2 - 609 ;1.0
K2 - 680 ;4.37
K2 - 698 ;0.08
K2 - 703 ;1.47
K2 - 735 ;0.82
K2 - 887 ;0.02
K3 - 171 ;0.13
K3 - 35 ;1.62
K3 - 402 ;0.21
K3 - 609 ;0.92
K3 - 680 ;2.26
K3 - 698 ;0.06
K3 - 703 ;0.86
K3 - 735 ;0.82
K3 - 887 ;0.11
K4 - 171 ;0.15
K4 - 35 ;1.26
K4 - 402 ;0.18
K4 - 609 ;0.53
K4 - 680 ;1.64
K4 - 698 ;0.18
K4 - 703 ;1.1
K4 - 735 ;0.4
K4 - 887 ;0.06
GA1 - 171 ;0.02
GA1 - 35 ;0.91
GA1 - 402 ;0.7
GA1 - 609 ;0.37
GA1 - 680 ;1.32
GA1 - 698 ;0.21
GA1 - 703 ;1.12
GA1 - 735 ;0.49
GA1 - 887 ;0.23
GA2 - 171 ;
GA2 - 35 ;1.78
GA2 - 402 ;0.03
GA2 - 609 ;1.15
GA2 - 680 ;1.88
GA2 - 698 ;0.08
GA2 - 703 ;1.23
GA2 - 735 ;0.55
GA2 - 887 ;0.23
GA3 - 171 ;0.04
GA3 - 35 ;0.77
GA3 - 402 ;0.1
GA3 - 609 ;0.67
GA3 - 680 ;5.04
GA3 - 698 ;0.02
GA3 - 703 ;0.6
GA3 - 735 ;3.97
GA3 - 887 ;0.67
GA4 - 171 ;0.71
GA4 - 35 ;0.85
GA4 - 402 ;
GA4 - 609 ;0.91
GA4 - 680 ;4.75
GA4 - 698 ;
GA4 - 703 ;0.35
GA4 - 735 ;2.64
GA4 - 887 ;0.33
K1 - 171 ;0.14
K1 - 35 ;0.42
K1 - 402 ;0.08
K1 - 609 ;0.97
K1 - 680 ;2.08
K1 - 698 ;
K1 - 703 ;0.73
K1 - 735 ;0.65
K1 - 887 ;0.14
K2 - 171 ;0.09
K2 - 35 ;0.64
K2 - 402 ;0.07
K2 - 609 ;0.27
K2 - 680 ;0.82
K2 - 698 ;
K2 - 703 ;0.59
K2 - 735 ;0.6
K2 - 887 ;0.02
K3 - 171 ;0.18
K3 - 35 ;0.49
K3 - 402 ;0.04
K3 - 609 ;0.55
K3 - 680 ;0.23
K3 - 698 ;0.02
K3 - 703 ;0.55
K3 - 735 ;0.46
K3 - 887 ;0.16
K4 - 171 ;0.13
K4 - 35 ;0.88
K4 - 402 ;0.04
K4 - 609 ;0.41
K4 - 680 ;1.19
K4 - 698 ;0.02
K4 - 703 ;1.57
K4 - 735 ;0.43
K4 - 887 ;0.11
GA1 - 171 ;0.41
GA1 - 35 ;0.13
GA1 - 402 ;0.08
GA1 - 609 ;0.34
GA1 - 680 ;0.26
GA1 - 698 ;0.04
GA1 - 703 ;0.33
GA1 - 735 ;0.64
GA1 - 887 ;5.22
GA2 - 171 ;0.05
GA2 - 35 ;1.16
GA2 - 402 ;0.09
GA2 - 609 ;0.08
GA2 - 680 ;0.64
GA2 - 698 ;0.21
GA2 - 703 ;0.59
GA2 - 735 ;0.37
GA2 - 887 ;3.72
GA3 - 171 ;0.07
GA3 - 35 ;0.16
GA3 - 402 ;0.04
GA3 - 609 ;0.19
GA3 - 680 ;0.87
GA3 - 698 ;0.13
GA3 - 703 ;0.36
GA3 - 735 ;0.69
GA3 - 887 ;2.87
GA4 - 171 ;0.1
GA4 - 35 ;0.11
GA4 - 402 ;0.14
GA4 - 609 ;0.22
GA4 - 680 ;0.72
GA4 - 698 ;0.04
GA4 - 703 ;1.07
GA4 - 735 ;3.49
GA4 - 887 ;1.13
K1 - 171 ;0.08
K1 - 35 ;0.15
K1 - 402 ;0.08
K1 - 609 ;0.21
K1 - 680 ;0.94
K1 - 698 ;0.06
K1 - 703 ;0.34
K1 - 735 ;0.45
K1 - 887 ;0.09
K2 - 171 ;0.17
K2 - 35 ;0.11
K2 - 402 ;0.05
K2 - 609 ;0.13
K2 - 680 ;2.28
K2 - 698 ;0.07
K2 - 703 ;0.38
K2 - 735 ;0.21
K2 - 887 ;0.23
K3 - 171 ;0.12
K3 - 35 ;0.21
K3 - 402 ;
K3 - 609 ;0.22
K3 - 680 ;0.7
K3 - 698 ;
K3 - 703 ;0.39
K3 - 735 ;0.16
K3 - 887 ;0.12
K4 - 171 ;0.07
K4 - 35 ;0.19
K4 - 402 ;0.03
K4 - 609 ;0.21
K4 - 680 ;0.14
K4 - 698 ;
K4 - 703 ;0.65
K4 - 735 ;0.4
K4 - 887 ;0.21
;
GA8;
GA1 - 171 ;5.76
GA1 - 35 ;1.19
GA1 - 402 ;5.53
GA1 - 609 ;3.84
GA1 - 680 ;4.28
GA1 - 698 ;0.59
GA1 - 703 ;0.71
GA1 - 735 ;0.7
GA1 - 887 ;0.34
GA2 - 171 ;5.07
GA2 - 35 ;1.07
GA2 - 402 ;6.64
GA2 - 609 ;3.69
GA2 - 680 ;2.12
GA2 - 698 ;3.49
GA2 - 703 ;1.44
GA2 - 735 ;0.91
GA2 - 887 ;0.52
GA3 - 171 ;5.54
GA3 - 35 ;1.72
GA3 - 402 ;7.75
GA3 - 609 ;3.73
GA3 - 680 ;2.23
GA3 - 698 ;1.32
GA3 - 703 ;0.94
GA3 - 735 ;1.72
GA3 - 887 ;0.64
GA4 - 171 ;6.38
GA4 - 35 ;2.04
GA4 - 402 ;3.91
GA4 - 609 ;4.18
GA4 - 680 ;2.15
GA4 - 698 ;1.53
GA4 - 703 ;0.92
GA4 - 735 ;1.6
GA4 - 887 ;0.55
K1 - 171 ;4.74
K1 - 35 ;2.3
K1 - 402 ;3.91
K1 - 609 ;3.21
K1 - 680 ;2.0
K1 - 698 ;1.97
K1 - 703 ;0.85
K1 - 735 ;1.51
K1 - 887 ;0.23
K2 - 171 ;5.82
K2 - 35 ;1.6
K2 - 402 ;4.23
K2 - 609 ;3.32
K2 - 680 ;2.19
K2 - 698 ;1.29
K2 - 703 ;0.41
K2 - 735 ;1.83
K2 - 887 ;0.78
K3 - 171 ;5.26
K3 - 35 ;2.27
K3 - 402 ;4.17
K3 - 609 ;3.4
K3 - 680 ;2.0
K3 - 698 ;1.36
K3 - 703 ;0.77
K3 - 735 ;1.76
K3 - 887 ;0.17
K4 - 171 ;3.82
K4 - 35 ;2.46
K4 - 402 ;5.44
K4 - 609 ;2.79
K4 - 680 ;3.05
K4 - 698 ;1.36
K4 - 703 ;0.53
K4 - 735 ;1.75
K4 - 887 ;0.32
GA1 - 171 ;4.61
GA1 - 35 ;3.69
GA1 - 402 ;4.75
GA1 - 609 ;4.24
GA1 - 680 ;4.99
GA1 - 698 ;1.52
GA1 - 703 ;1.62
GA1 - 735 ;1.77
GA1 - 887 ;0.7
GA2 - 171 ;5.37
GA2 - 35 ;1.85
GA2 - 402 ;4.14
GA2 - 609 ;5.08
GA2 - 680 ;3.63
GA2 - 698 ;1.53
GA2 - 703 ;0.96
GA2 - 735 ;2.27
GA2 - 887 ;0.85
GA3 - 171 ;7.17
GA3 - 35 ;3.1
GA3 - 402 ;5.11
GA3 - 609 ;6.94
GA3 - 680 ;1.67
GA3 - 698 ;1.99
GA3 - 703 ;0.8
GA3 - 735 ;4.01
GA3 - 887 ;0.56
GA4 - 171 ;5.9
GA4 - 35 ;2.42
GA4 - 402 ;5.35
GA4 - 609 ;4.67
GA4 - 680 ;4.34
GA4 - 698 ;2.4
GA4 - 703 ;1.18
GA4 - 735 ;3.21
GA4 - 887 ;1.03
K1 - 171 ;4.98
K1 - 35 ;3.65
K1 - 402 ;4.45
K1 - 609 ;2.96
K1 - 680 ;4.24
K1 - 698 ;1.84
K1 - 703 ;1.0
K1 - 735 ;1.98
K1 - 887 ;0.51
K2 - 171 ;6.12
K2 - 35 ;3.61
K2 - 402 ;7.77
K2 - 609 ;3.06
K2 - 680 ;4.21
K2 - 698 ;1.25
K2 - 703 ;1.41
K2 - 735 ;3.53
K2 - 887 ;0.39
K3 - 171 ;5.57
K3 - 35 ;1.54
K3 - 402 ;4.26
K3 - 609 ;5.38
K3 - 680 ;3.8
K3 - 698 ;3.26
K3 - 703 ;0.94
K3 - 735 ;2.36
K3 - 887 ;1.52
K4 - 171 ;6.25
K4 - 35 ;2.26
K4 - 402 ;3.89
K4 - 609 ;3.65
K4 - 680 ;2.9
K4 - 698 ;1.45
K4 - 703 ;1.42
K4 - 735 ;2.08
K4 - 887 ;0.7
GA1 - 171 ;4.21
GA1 - 35 ;5.16
GA1 - 402 ;10.17
GA1 - 609 ;7.92
GA1 - 680 ;3.53
GA1 - 698 ;1.36
GA1 - 703 ;1.66
GA1 - 735 ;4.45
GA1 - 887 ;1.03
GA2 - 171 ;5.67
GA2 - 35 ;3.23
GA2 - 402 ;5.4
GA2 - 609 ;7.46
GA2 - 680 ;7.87
GA2 - 698 ;2.12
GA2 - 703 ;1.7
GA2 - 735 ;4.58
GA2 - 887 ;1.25
GA3 - 171 ;4.31
GA3 - 35 ;4.67
GA3 - 402 ;3.12
GA3 - 609 ;5.72
GA3 - 680 ;3.86
GA3 - 698 ;3.89
GA3 - 703 ;1.29
GA3 - 735 ;4.43
GA3 - 887 ;1.66
GA4 - 171 ;8.67
GA4 - 35 ;3.97
GA4 - 402 ;7.46
GA4 - 609 ;8.77
GA4 - 680 ;4.35
GA4 - 698 ;3.48
GA4 - 703 ;3.03
GA4 - 735 ;5.18
GA4 - 887 ;1.27
K1 - 171 ;8.71
K1 - 35 ;5.36
K1 - 402 ;6.27
K1 - 609 ;5.18
K1 - 680 ;8.38
K1 - 698 ;7.97
K1 - 703 ;1.53
K1 - 735 ;5.06
K1 - 887 ;1.42
K2 - 171 ;4.81
K2 - 35 ;5.98
K2 - 402 ;6.86
K2 - 609 ;7.12
K2 - 680 ;2.79
K2 - 698 ;5.5
K2 - 703 ;1.6
K2 - 735 ;5.17
K2 - 887 ;1.92
K3 - 171 ;4.95
K3 - 35 ;4.58
K3 - 402 ;14.84
K3 - 609 ;21.73
K3 - 680 ;5.3
K3 - 698 ;4.4
K3 - 703 ;2.96
K3 - 735 ;4.27
K3 - 887 ;1.01
K4 - 171 ;5.93
K4 - 35 ;4.57
K4 - 402 ;6.86
K4 - 609 ;5.71
K4 - 680 ;3.5
K4 - 698 ;2.78
K4 - 703 ;2.13
K4 - 735 ;3.01
K4 - 887 ;0.74
GA1 - 171 ;5.69
GA1 - 35 ;0.25
GA1 - 402 ;9.61
GA1 - 609 ;2.17
GA1 - 680 ;8.51
GA1 - 698 ;4.55
GA1 - 703 ;1.04
GA1 - 735 ;9.51
GA1 - 887 ;5.88
GA2 - 171 ;7.06
GA2 - 35 ;0.19
GA2 - 402 ;9.39
GA2 - 609 ;2.6
GA2 - 680 ;6.14
GA2 - 698 ;4.7
GA2 - 703 ;0.91
GA2 - 735 ;7.78
GA2 - 887 ;7.84
GA3 - 171 ;6.2
GA3 - 35 ;0.54
GA3 - 402 ;9.08
GA3 - 609 ;2.77
GA3 - 680 ;6.4
GA3 - 698 ;5.0
GA3 - 703 ;0.77
GA3 - 735 ;5.42
GA3 - 887 ;3.71
GA4 - 171 ;7.19
GA4 - 35 ;0.41
GA4 - 402 ;13.83
GA4 - 609 ;1.64
GA4 - 680 ;8.99
GA4 - 698 ;6.16
GA4 - 703 ;0.72
GA4 - 735 ;9.68
GA4 - 887 ;5.07
K1 - 171 ;7.83
K1 - 35 ;1.11
K1 - 402 ;10.58
K1 - 609 ;2.39
K1 - 680 ;7.24
K1 - 698 ;4.81
K1 - 703 ;1.15
K1 - 735 ;7.95
K1 - 887 ;4.13
K2 - 171 ;5.5
K2 - 35 ;1.91
K2 - 402 ;11.43
K2 - 609 ;2.42
K2 - 680 ;5.78
K2 - 698 ;5.25
K2 - 703 ;1.47
K2 - 735 ;11.25
K2 - 887 ;4.0
K3 - 171 ;11.45
K3 - 35 ;1.01
K3 - 402 ;9.75
K3 - 609 ;4.51
K3 - 680 ;10.0
K3 - 698 ;4.07
K3 - 703 ;1.26
K3 - 735 ;11.39
K3 - 887 ;4.82
K4 - 171 ;6.19
K4 - 35 ;0.85
K4 - 402 ;8.09
K4 - 609 ;1.86
K4 - 680 ;7.55
K4 - 698 ;5.22
K4 - 703 ;1.11
K4 - 735 ;6.85
K4 - 887 ;3.69
;
ABA;
GA1 - 171 ;1468.01
GA1 - 35 ;265.3
GA1 - 402 ;1035.3
GA1 - 609 ;2356.51
GA1 - 680 ;1580.02
GA1 - 698 ;2866.77
GA1 - 703 ;1679.83
GA1 - 735 ;2609.77
GA1 - 887 ;1466.38
GA2 - 171 ;1824.53
GA2 - 35 ;632.82
GA2 - 402 ;933.6
GA2 - 609 ;2573.01
GA2 - 680 ;2824.45
GA2 - 698 ;1787.12
GA2 - 703 ;2287.27
GA2 - 735 ;1585.27
GA2 - 887 ;1296.01
GA3 - 171 ;1033.26
GA3 - 35 ;1009.59
GA3 - 402 ;1215.67
GA3 - 609 ;3641.13
GA3 - 680 ;1590.72
GA3 - 698 ;1160.0
GA3 - 703 ;1669.18
GA3 - 735 ;2705.29
GA3 - 887 ;2232.18
GA4 - 171 ;1566.79
GA4 - 35 ;1183.44
GA4 - 402 ;1897.14
GA4 - 609 ;3538.89
GA4 - 680 ;1500.12
GA4 - 698 ;1020.37
GA4 - 703 ;1669.68
GA4 - 735 ;2921.83
GA4 - 887 ;1467.14
K1 - 171 ;1053.34
K1 - 35 ;1426.37
K1 - 402 ;1496.22
K1 - 609 ;1531.23
K1 - 680 ;1492.98
K1 - 698 ;2024.86
K1 - 703 ;1856.2
K1 - 735 ;2117.26
K1 - 887 ;1887.26
K2 - 171 ;2793.25
K2 - 35 ;1094.54
K2 - 402 ;1519.61
K2 - 609 ;1430.81
K2 - 680 ;1583.9
K2 - 698 ;2110.57
K2 - 703 ;2944.05
