Sample_Number;Sample_Name;GA4;GA1;GA7;GA3;GA5;GA34;GA8;ABA;JA;IAA;SA;DHZ;iP;tZ;Control;Hormone_Treated;Trip_Number
L83;K1 - 887 - A;0.453;0.092;0.42;18.974;9.16;0.06;0.23;1887.26;10.21;7.83;397.19;0.09;0.02;0.03;True;False;1
L84;K2 - 887 - A;0.976;0.235;0.37;38.549;15.07;0.04;0.78;1190.38;2.98;9.19;169.72;0.16;0.02;0.06;True;False;1
L85;K3 - 887 - A;9.732;0.151;0.57;16.559;3.85;0.11;0.17;1213.44;78.89;9.8;110.17;0.06;0.01;0.04;True;False;1
L86;K4 - 887 - A;7.79;0.041;0.5;17.761;5.63;0.18;0.32;1027.04;38.46;9.09;129.51;0.14;0.02;0.06;True;False;1
L87;GA1 - 887 - A;6.901;0.142;1.89;22.218;5.91;0.13;0.34;1466.38;37.72;10.82;187.55;0.11;0.01;0.04;False;True;1
L88;GA2 - 887 - A;5.586;0.3;4.7;35.117;7.16;0.07;0.52;1296.01;10.44;11.36;147.4;0.12;0.02;0.06;False;True;1
L89;GA3 - 887 - A;5.64;0.269;1.8;37.68;9.82;0.15;0.64;2232.18;20.12;9.43;237.24;0.09;0.01;0.04;False;True;1
L90;GA4 - 887 - A;4.397;0.194;3.27;40.464;15.73;0.2;0.55;1467.14;28.31;8.68;172.13;0.11;0.01;0.03;False;True;1
L91;K1 - 735 - A;11.43;0.285;1.46;88.291;9.59;1.07;1.51;2117.26;31.95;8.66;59.51;0.04;0.01;0.02;True;False;1
L92;K2 - 735 - A;5.058;0.248;0.26;70.142;11.43;0.51;1.83;1103.1;113.55;11.19;36.89;0.06;0.01;0.03;True;False;1
L93;K3 - 735 - A;3.879;0.5;0.85;70.327;11.93;0.32;1.76;2194.18;73.91;11.52;35.13;0.08;0.01;0.03;True;False;1
L94;K4 - 735 - A;1.305;0.316;1.49;64.283;10.05;0.15;1.75;1775.09;10.54;6.09;34.67;0.04;0.01;0.01;True;False;1
L95;GA1 - 735 - A;0.886;0.077;0.34;28.272;2.94;0.12;0.7;2609.77;30.08;10.55;182.87;0.05;0.01;0.02;False;True;1
L96;GA2 - 735 - A;4.083;0.288;0.74;54.129;9.5;0.13;0.91;1585.27;17.18;12.18;50.82;0.07;0.01;0.03;False;True;1
L97;GA3 - 735 - A;1.967;0.298;1.47;68.149;11.36;0.22;1.72;2705.29;41.65;9.56;57.17;0.08;0.01;0.02;False;True;1
L98;GA4 - 735 - A;1.994;0.158;0.63;59.91;8.46;0.2;1.6;2921.83;22.58;6.78;140.76;0.08;0.01;0.03;False;True;1
L99;K1 - 698 - A;1.774;0.501;1.28;108.281;8.58;0.02;1.97;2024.86;69.76;11.49;43.47;0.1;0.01;0.03;True;False;1
L100;K2 - 698 - A;2.907;0.487;1.14;81.246;6.75;0.02;1.29;2110.57;24.99;14.26;66.54;0.12;0.01;0.04;True;False;1
L101;K3 - 698 - A;0.38;0.185;0.4;41.126;5.67;0.01;1.36;2658.77;13.62;11.88;200.4;0.11;0.01;0.04;True;False;1
L102;K4 - 698 - A;2.478;0.594;1.41;104.799;5.54;0.04;1.36;1619.8;19.55;11.3;42.38;0.1;0.01;0.06;True;False;1
L103;GA1 - 698 - A;1.465;7.359;1.27;31.675;2.15;0.0;0.59;2866.77;40.94;12.62;128.84;0.09;0.01;0.07;False;True;1
L104;GA2 - 698 - A;1.591;0.449;1.33;50.438;4.67;0.08;3.49;1787.12;53.29;8.44;34.99;0.14;0.01;0.05;False;True;1
L105;GA3 - 698 - A;5.054;0.369;2.2;92.366;5.75;0.01;1.32;1160.0;32.85;9.84;42.94;0.13;0.01;0.08;False;True;1
L106;GA4 - 698 - A;2.677;0.485;1.36;80.844;7.79;0.02;1.53;1020.37;43.54;8.22;60.37;0.09;0.01;0.04;False;True;1
L107;K1 - 680 - A;6.421;0.588;1.75;118.642;15.66;11.47;2.0;1492.98;108.47;13.19;74.45;0.11;0.01;0.05;True;False;1
L108;K2 - 680 - A;1.449;0.561;1.69;102.748;14.84;2.54;2.19;1583.9;19.51;12.18;87.15;0.09;0.01;0.05;True;False;1
L109;K3 - 680 - A;4.423;0.62;3.08;102.578;13.6;7.39;2.0;1601.61;30.0;14.69;69.53;0.13;0.01;0.06;True;False;1
L110;K4 - 680 - A;1.792;0.523;1.56;111.768;17.34;1.93;3.05;2694.0;19.2;10.38;95.63;0.07;0.01;0.03;True;False;1
L111;GA1 - 680 - A;1.963;0.728;0.77;110.429;13.4;4.56;4.28;1580.02;43.5;8.96;79.79;0.06;0.01;0.03;False;True;1
L112;GA2 - 680 - A;6.411;0.742;2.34;101.828;11.94;4.89;2.12;2824.45;18.06;10.27;80.16;0.09;0.01;0.05;False;True;1
L113;GA3 - 680 - A;1.301;0.414;1.69;88.542;11.33;1.53;2.23;1590.72;16.5;10.5;95.53;0.08;0.01;0.06;False;True;1
L114;GA4 - 680 - A;1.893;0.767;2.67;116.463;15.05;3.31;2.15;1500.12;53.81;11.96;80.51;0.08;0.01;0.03;False;True;1
L115;K1 - 402 - A;2.248;1.14;2.4;62.932;19.87;0.6;3.91;1496.22;17.65;8.8;67.89;0.13;0.01;0.05;True;False;1
L116;K2 - 402 - A;1.96;1.411;1.85;85.379;24.45;0.41;4.23;1519.61;47.99;10.07;47.8;0.13;0.01;0.05;True;False;1
L117;K3 - 402 - A;1.321;0.999;3.49;70.122;19.78;0.24;4.17;1483.75;18.14;8.76;76.23;0.12;0.01;0.04;True;False;1
L118;K4 - 402 - A;1.534;1.243;2.39;61.841;20.39;0.37;5.44;1309.11;6.61;11.39;40.54;0.08;0.01;0.03;True;False;1
L119;GA1 - 402 - A;0.201;1.323;2.86;71.813;13.9;0.25;5.53;1035.3;88.18;7.11;24.01;0.07;0.01;0.02;False;True;1
L120;GA2 - 402 - A;0.433;0.817;3.34;75.639;14.73;0.04;6.64;933.6;10.41;8.5;41.97;0.09;0.0;0.03;False;True;1
L121;GA3 - 402 - A;0.694;1.145;1.74;85.944;32.25;0.2;7.75;1215.67;20.63;11.52;38.47;0.14;0.01;0.04;False;True;1
L122;GA4 - 402 - A;2.347;0.775;3.33;63.655;15.65;0.24;3.91;1897.14;104.45;12.23;36.75;0.09;0.01;0.03;False;True;1
L123;K1 - 171 - A;7.335;0.923;3.47;78.551;20.69;0.56;4.74;1053.34;22.72;9.81;59.05;0.1;0.01;0.05;True;False;1
L124;K2 - 171 - A;2.772;0.566;4.11;82.818;24.32;0.21;5.82;2793.25;49.08;10.34;80.62;0.08;0.01;0.04;True;False;1
L125;K3 - 171 - A;1.937;0.476;3.76;79.452;25.71;0.13;5.26;2805.38;2.32;6.2;44.39;0.07;0.02;0.02;True;False;1
L126;K4 - 171 - A;7.705;0.636;4.27;66.546;17.27;1.03;3.82;2013.04;4.81;9.87;62.78;0.09;0.01;0.04;True;False;1
L127;GA1 - 171 - A;2.141;1.031;3.01;80.409;21.56;0.4;5.76;1468.01;13.31;7.42;66.61;0.1;0.01;0.06;False;True;1
L128;GA2 - 171 - A;2.681;0.46;3.37;75.756;17.23;0.33;5.07;1824.53;2.96;5.04;39.42;0.07;0.01;0.03;False;True;1
L129;GA3 - 171 - A;0.381;0.767;3.02;84.373;20.65;0.24;5.54;1033.26;14.27;7.54;105.66;0.1;0.01;0.05;False;True;1
L130;GA4 - 171 - A;2.581;0.628;0.55;61.786;27.64;0.56;6.38;1566.79;38.73;6.93;69.59;0.08;0.01;0.04;False;True;1
L131;K1 - 703 - A;2.595;0.38;3.04;35.494;4.76;0.32;0.85;1856.2;14.79;9.56;32.0;0.08;0.01;0.03;True;False;1
L132;K2 - 703 - A;0.794;0.186;0.75;9.816;1.51;0.04;0.41;2944.05;47.23;16.89;144.56;0.07;0.01;0.03;True;False;1
L133;K3 - 703 - A;4.017;0.377;1.67;51.597;5.94;0.65;0.77;1575.83;41.43;14.51;38.0;0.09;0.01;0.04;True;False;1
L134;K4 - 703 - A;6.186;0.193;2.52;34.728;3.68;0.7;0.53;1623.96;45.45;11.14;33.4;0.09;0.01;0.05;True;False;1
L135;GA1 - 703 - A;2.681;0.525;1.71;46.661;5.14;0.23;0.71;1679.83;27.58;8.99;40.82;0.08;0.01;0.03;False;True;1
L136;GA2 - 703 - A;3.945;0.345;1.78;50.706;8.81;0.22;1.44;2287.27;36.57;11.3;30.56;0.1;0.01;0.02;False;True;1
L137;GA3 - 703 - A;5.895;0.509;3.44;38.788;6.12;0.68;0.94;1669.18;79.34;12.35;32.04;0.08;0.01;0.04;False;True;1
L138;GA4 - 703 - A;3.177;0.402;2.08;49.294;6.43;1.19;0.92;1669.68;6.36;6.88;32.49;0.06;0.01;0.03;False;True;1
L139;K1 - 609 - A;4.837;0.429;4.49;57.507;8.0;0.71;3.21;1531.23;7.64;4.82;41.27;0.08;0.01;0.03;True;False;1
L140;K2 - 609 - A;2.078;0.731;3.08;53.392;21.13;0.28;3.32;1430.81;14.27;6.11;77.1;0.12;0.01;0.03;True;False;1
L141;K3 - 609 - A;4.664;0.524;3.26;61.779;15.42;0.5;3.4;2604.57;16.63;8.41;72.39;0.1;0.01;0.02;True;False;1
L142;K4 - 609 - A;2.064;0.572;2.81;59.122;13.59;0.16;2.79;2128.16;12.57;5.07;58.62;0.08;0.01;0.03;True;False;1
L143;GA1 - 609 - A;1.87;0.5;2.85;60.54;16.64;0.19;3.84;2356.51;21.27;6.22;96.15;0.06;0.01;0.02;False;True;1
L144;GA2 - 609 - A;0.587;0.589;5.94;55.703;13.46;0.05;3.69;2573.01;10.68;10.94;166.95;0.17;0.01;0.03;False;True;1
L145;GA3 - 609 - A;2.774;0.604;3.74;54.348;12.68;0.18;3.73;3641.13;4.75;6.05;71.71;0.08;0.01;0.03;False;True;1
L146;GA4 - 609 - A;2.578;0.485;9.6;71.485;22.18;0.23;4.18;3538.89;9.52;5.83;117.7;0.07;0.01;0.02;False;True;1
L147;K1 - 35 - A;1.49;0.623;1.49;54.708;4.11;0.42;2.3;1426.37;14.77;7.01;90.41;0.13;0.02;0.03;True;False;1
L148;K2 - 35 - A;2.138;0.455;5.73;50.085;5.43;0.35;1.6;1094.54;8.26;11.62;129.26;0.14;0.01;0.03;True;False;1
L149;K3 - 35 - A;2.778;0.459;5.44;52.703;3.46;0.27;2.27;594.63;7.22;11.41;110.95;0.14;0.01;0.04;True;False;1
L150;K4 - 35 - A;2.453;0.33;2.27;66.397;5.45;0.28;2.46;1423.16;5.46;8.91;106.28;0.07;0.01;0.03;True;False;1
L151;GA1 - 35 - A;6.413;0.661;2.5;45.756;8.87;0.88;1.19;265.3;48.51;8.78;84.0;0.15;0.01;0.07;False;True;1
L152;GA2 - 35 - A;5.555;0.681;3.15;35.661;5.51;0.57;1.07;632.82;4.07;6.95;99.45;0.13;0.01;0.06;False;True;1
L153;GA3 - 35 - A;1.733;0.813;1.75;44.457;5.46;0.34;1.72;1009.59;18.6;7.16;125.16;0.1;0.01;0.04;False;True;1
L154;GA4 - 35 - A;4.743;0.475;1.37;58.685;10.07;0.69;2.04;1183.44;10.47;10.1;191.47;0.15;0.02;0.06;False;True;1
L155;K1 - 887 - B;0.383;0.131;0.57;11.971;3.88;0.04;0.51;3680.34;16.22;9.69;455.41;0.1;0.01;0.03;True;False;2
L156;K2 - 887 - B;0.602;0.113;0.94;13.465;7.1;0.02;0.39;2107.91;17.06;6.95;219.04;0.13;0.01;0.03;True;False;2
L157;K3 - 887 - B;0.266;0.114;0.73;20.042;6.26;0.11;1.52;4592.23;36.15;10.5;603.68;0.09;0.01;0.02;True;False;2
L158;K4 - 887 - B;1.828;0.131;1.1;27.846;7.04;0.06;0.7;2462.97;150.6;9.43;154.9;0.12;0.01;0.03;True;False;2
L159;GA1 - 887 - B;3.128;0.181;1.94;28.019;7.46;0.11;0.7;1718.84;51.7;7.33;154.15;0.11;0.01;0.03;False;True;2
L160;GA2 - 887 - B;2.817;0.196;1.6;21.598;8.11;0.27;0.85;1677.07;197.27;7.97;190.52;0.14;0.01;0.04;False;True;2
L161;GA3 - 887 - B;8.504;0.181;0.49;31.491;6.04;0.22;0.56;1255.68;133.01;11.13;133.89;0.18;0.01;0.06;False;True;2
L162;GA4 - 887 - B;4.655;0.386;2.69;42.95;8.05;0.24;1.03;1897.5;60.28;6.93;164.17;0.15;0.01;0.03;False;True;2
L163;K1 - 735 - B;8.962;0.38;0.86;46.771;9.06;1.22;1.98;1877.55;106.0;8.98;54.38;0.06;0.01;0.02;True;False;2
L164;K2 - 735 - B;3.533;0.637;0.73;70.341;8.1;0.82;3.53;3207.28;11.01;4.22;25.98;0.08;0.01;0.03;True;False;2
L165;K3 - 735 - B;4.463;0.582;0.82;53.068;7.48;0.82;2.36;2812.69;38.87;7.99;33.9;0.05;0.01;0.02;True;False;2
L166;K4 - 735 - B;3.208;0.421;0.95;50.315;9.68;0.4;2.08;1962.59;96.64;6.2;30.95;0.09;0.01;0.02;True;False;2
L167;GA1 - 735 - B;0.823;0.171;1.51;46.176;7.61;0.16;1.77;3452.99;46.12;8.22;129.17;0.06;0.01;0.02;False;True;2
L168;GA2 - 735 - B;3.07;0.339;0.79;45.698;14.86;0.41;2.27;3712.49;43.25;10.14;84.09;0.09;0.01;0.02;False;True;2
L169;GA3 - 735 - B;5.251;0.315;1.26;74.899;10.33;0.59;4.01;4106.51;96.19;6.96;23.22;0.05;0.01;0.02;False;True;2
L170;GA4 - 735 - B;6.045;0.304;1.71;57.755;9.95;0.53;3.21;2113.54;134.19;13.17;46.57;0.07;0.01;0.03;False;True;2
L171;K1 - 698 - B;1.676;0.549;1.66;76.664;4.75;0.07;1.84;2239.4;27.22;7.59;48.05;0.11;0.01;0.04;True;False;2
L172;K2 - 698 - B;6.193;0.425;1.15;61.728;5.82;0.08;1.25;1193.44;38.68;10.87;31.49;0.21;0.01;0.08;True;False;2
L173;K3 - 698 - B;1.256;0.354;1.34;70.999;14.7;0.06;3.26;2133.89;17.65;8.02;106.51;0.14;0.01;0.03;True;False;2
L174;K4 - 698 - B;1.648;0.478;2.85;77.765;6.53;0.18;1.45;1499.33;99.99;8.73;48.27;0.19;0.01;0.06;True;False;2
L175;GA1 - 698 - B;2.891;0.243;1.09;50.586;3.41;0.03;1.52;1013.4;84.31;9.13;44.9;0.16;0.01;0.08;False;True;2
L176;GA2 - 698 - B;1.483;0.546;2.27;47.991;5.65;0.09;1.53;1680.32;103.25;8.32;43.62;0.14;0.01;0.04;False;True;2
L177;GA3 - 698 - B;3.839;0.314;1.97;69.527;5.88;0.03;1.99;1347.22;201.53;9.05;44.6;0.16;0.01;0.06;False;True;2
L178;GA4 - 698 - B;0.976;0.569;1.95;61.293;6.18;0.06;2.4;955.05;6.36;7.9;38.58;0.2;0.01;0.06;False;True;2
L179;K1 - 680 - B;1.486;0.697;2.93;92.503;14.96;2.2;4.24;1164.4;16.19;10.63;48.78;0.24;0.01;0.03;True;False;2
L180;K2 - 680 - B;3.73;0.488;1.58;92.364;10.95;4.37;4.21;1833.93;57.25;9.62;101.46;0.14;0.01;0.03;True;False;2
L181;K3 - 680 - B;1.334;0.576;1.09;109.764;12.92;2.26;3.8;2572.07;1.46;8.77;55.05;0.14;0.01;0.03;True;False;2
L182;K4 - 680 - B;2.109;0.611;2.39;81.472;13.12;1.64;2.9;1417.61;48.21;13.24;73.51;0.19;0.01;0.04;True;False;2
L183;GA1 - 680 - B;1.673;0.539;1.08;134.568;19.34;1.8;4.99;2405.64;4.3;8.8;59.67;0.16;0.01;0.03;False;True;2
L184;GA2 - 680 - B;1.001;0.606;1.42;76.198;15.45;2.37;3.63;1308.55;69.51;6.96;77.94;0.2;0.01;0.04;False;True;2
L185;GA3 - 680 - B;1.601;0.303;0.49;52.42;5.21;0.86;1.67;1340.35;24.89;8.33;63.52;0.12;0.01;0.04;False;True;2
L186;GA4 - 680 - B;0.89;0.438;3.17;79.856;14.3;2.03;4.34;1651.39;16.48;13.55;78.23;0.12;0.01;0.03;False;True;2
L187;K1 - 402 - B;0.838;0.674;1.34;45.702;26.23;0.1;4.45;1626.61;31.27;6.5;57.29;0.11;0.01;0.02;True;False;2
L188;K2 - 402 - B;0.563;0.702;2.08;62.008;25.3;0.17;7.77;1995.29;18.33;6.26;30.49;0.1;0.01;0.02;True;False;2
L189;K3 - 402 - B;3.063;0.847;4.54;50.492;20.98;0.21;4.26;1170.11;57.27;10.62;36.39;0.18;0.01;0.04;True;False;2
L190;K4 - 402 - B;0.916;0.814;1.95;52.428;16.39;0.18;3.89;1025.73;116.41;12.54;67.23;0.13;0.01;0.03;True;False;2
L191;GA1 - 402 - B;1.425;0.684;1.59;65.497;11.99;0.04;4.75;1553.6;65.32;8.33;36.26;0.14;0.01;0.04;False;True;2
L192;GA2 - 402 - B;1.232;0.712;1.86;68.394;10.97;0.07;4.14;1449.28;97.38;7.39;32.09;0.13;0.01;0.03;False;True;2
L193;GA3 - 402 - B;1.668;0.666;1.16;68.59;30.03;;5.11;1580.84;5.74;10.63;43.88;0.16;0.01;0.04;False;True;2
L194;GA4 - 402 - B;2.301;0.637;2.36;61.614;10.72;0.13;5.35;1787.21;18.51;9.15;35.66;0.12;0.01;0.03;False;True;2
L195;K1 - 171 - B;2.741;0.441;1.99;72.245;18.96;0.08;4.98;1367.15;24.29;9.78;40.79;0.18;0.01;0.03;True;False;2
L196;K2 - 171 - B;2.705;0.498;1.59;72.383;13.05;0.33;6.12;2675.0;86.43;11.35;67.13;0.15;0.01;0.04;True;False;2
L197;K3 - 171 - B;2.58;0.408;1.97;76.025;14.11;0.13;5.57;2374.21;23.13;11.12;43.82;0.15;0.01;0.02;True;False;2
L198;K4 - 171 - B;3.073;0.551;1.5;86.516;22.4;0.15;6.25;1441.71;32.56;11.29;88.14;0.16;0.01;0.04;True;False;2
L199;GA1 - 171 - B;3.414;0.393;2.36;61.558;12.23;0.13;4.61;1725.28;54.34;7.76;48.07;0.12;0.01;0.05;False;True;2
L200;GA2 - 171 - B;2.045;0.574;2.61;73.642;18.46;0.26;5.37;1457.36;75.32;12.18;56.31;0.15;0.01;0.04;False;True;2
L201;GA3 - 171 - B;2.265;0.408;3.1;86.543;21.94;0.23;7.17;1345.65;23.96;8.48;48.2;0.14;0.02;0.03;False;True;2
L202;GA4 - 171 - B;1.092;0.366;4.0;74.916;18.73;0.16;5.9;1534.83;18.0;12.01;71.59;0.38;0.02;0.11;False;True;2
L203;K1 - 703 - B;4.95;0.298;3.93;41.626;4.4;1.44;1.0;2571.64;238.57;12.58;59.21;0.12;0.01;0.03;True;False;2
L204;K2 - 703 - B;3.064;0.328;2.77;43.077;4.12;1.47;1.41;3301.99;119.97;8.74;43.64;0.14;0.01;0.04;True;False;2
